Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
0,11,5,3,60,3,180,4,7,2,0
1,26,1,2,100,4,400,3,8,2,2
2,12,5,3,60,2,120,6,3,0,0
3,20,5,3,60,3,180,8,2,1,2
4,3,7,2,150,3,450,4,7,2,2
5,11,8,1,20,1,20,6,2,1,2
6,19,7,2,150,4,600,4,4,4,1
7,23,6,2,500,1,500,9,6,4,1
8,57,8,1,20,3,60,9,0,4,1
9,7,6,2,500,1,500,3,8,1,0
10,16,0,0,15,2,30,2,0,0,2
11,9,2,1,40,4,160,7,2,1,1
12,0,3,2,800,2,1600,1,8,3,2
13,49,9,4,600,3,1800,7,6,1,0
14,25,7,2,150,4,600,6,9,1,1
15,37,4,4,1200,1,1200,6,0,1,0
16,1,8,1,20,1,20,4,7,0,1
17,2,6,2,500,2,1000,7,5,0,1
18,30,5,3,60,3,180,8,4,1,1
19,55,1,2,100,4,400,8,9,2,2
20,50,1,2,100,3,300,0,6,2,0
21,31,0,0,15,1,15,4,4,1,2
22,34,4,4,1200,3,3600,0,2,1,0
23,23,0,0,15,5,75,9,9,0,1
24,10,9,4,600,1,600,8,0,2,0
25,54,8,1,20,1,20,1,7,0,2
26,44,1,2,100,1,100,5,1,0,1
27,6,6,2,500,1,500,9,3,1,0
28,2,9,4,600,3,1800,3,2,3,0
29,34,6,2,500,1,500,6,4,3,2
30,3,6,2,500,4,2000,7,9,4,2
31,48,0,0,15,1,15,8,7,2,0
32,24,8,1,20,5,100,5,7,1,2
33,24,3,2,800,3,2400,4,3,0,1
34,58,4,4,1200,2,2400,9,0,4,0
35,14,1,2,100,3,300,7,7,2,0
36,38,3,2,800,3,2400,8,1,0,1
37,23,3,2,800,2,1600,8,8,4,1
38,38,7,2,150,1,150,3,9,3,2
39,25,0,0,15,1,15,5,6,1,0
40,17,1,2,100,3,300,5,1,0,0
41,56,8,1,20,4,80,5,3,1,2
42,34,7,2,150,1,150,0,4,2,2
43,13,4,4,1200,3,3600,1,7,1,2
44,53,5,3,60,2,120,2,4,2,0
45,38,8,1,20,2,40,0,6,3,0
46,4,8,1,20,5,100,5,3,0,1
47,18,6,2,500,4,2000,4,1,2,1
48,11,2,1,40,3,120,6,0,3,1
49,20,0,0,15,1,15,4,4,3,0
50,33,3,2,800,3,2400,6,8,1,2
51,34,5,3,60,4,240,3,5,4,1
52,13,7,2,150,3,450,2,0,3,2
53,13,2,1,40,2,80,9,2,4,1
54,21,7,2,150,2,300,4,2,1,1
