age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,state-gov,bachelors,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,<=50K
50,self-emp-not-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,13,united-states,<=50K
38,private,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
53,private,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50K
28,private,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,<=50K
37,private,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50K
49,private,9th,5,married-spouse-absent,other-service,not-in-family,black,female,0,0,16,jamaica,<=50K
52,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50K
31,private,masters,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50K
42,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,>50K
37,private,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,80,united-states,>50K
30,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50K
23,private,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,30,united-states,<=50K
32,private,assoc-acdm,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,<=50K
40,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50K
34,private,7th-8th,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,0,0,45,mexico,<=50K
25,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,<=50K
32,private,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50K
38,private,11th,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50K
43,self-emp-not-inc,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,>50K
40,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50K
54,private,hs-grad,9,separated,other-service,unmarried,black,female,0,0,20,united-states,<=50K
35,federal-gov,9th,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,<=50K
43,private,11th,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,<=50K
59,private,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50K
56,local-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50K
19,private,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50K
54,private,some-college,10,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,60,south,>50K
39,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,80,united-states,<=50K
49,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
23,local-gov,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,<=50K
20,private,some-college,10,never-married,sales,own-child,black,male,0,0,44,united-states,<=50K
45,private,bachelors,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,<=50K
30,federal-gov,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,<=50K
